scheme,n_splits,train_n,test_n,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,f1_converter_mean,f1_converter_sd,confidently_wrong_mean,confidently_wrong_sd,n_nonzero_mean,n_nonzero_sd,lam_mean,lam_sd
holdout,20,390,168,0.7801,0.0391,0.6751,0.0584,0.7044,0.0406,0.6823,0.0435,0.5493,0.0817,0.8153,0.0536,0.6055,0.0645,4.6,4.871,31.3,20.1941,16.6,8.8282
kfold,5,446,558,0.7784,0.0157,0.6569,0.018,0.7115,0.0128,0.6947,0.0143,0.5906,0.0271,0.7988,0.0133,0.6317,0.0199,21.2,3.2711,,,8.8,1.7889
